Combined Heat and Power Plants (CHPP) (secondary activity) - electricity and heat generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20962.994,,,,,106907.63,4853.066,,,54026.783,,,,,,,,,8469.97,,,,,,,,,120230.666,,,,,,,,,,,,,,14278.4028,,,,,270623.6493937916,4021.977,,,30758.51,,,,,,,,,8158.9527885,,,,,,,,,,,282804.57918229164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial and government services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.305,,,,,,51987.388,,,,,134439.042,,,,120948.615,33872.3,,,,0.131,14177.308,,,206026.14,,,,,,15226.615,,,576728.844,,,,,,40.176,,87.66799999999999,,,,,,52917.24600000001,,,,,10587.302657549999,303.318,,,84592.612,28901.074,,,28.41203,,21343.352625,,0.352,22755.09904575,,,3270.092,2597.604484633,,22354.069455,,,390.67999999999995,,250169.05829793302,,,,,,52.2,,,,,,67118.0,,,,,3343.7,819.4,,63597.0,3771.7,,,,,13613.1,,2507.5,45291.4,,,,2128.9,,6604.1,,,118.7,,208965.7,
Commercial and utility services,,,,,132.9,,,,,,,,79893.1,,44.3,,,77733.2,5919.9,,,3025.4,1268.7,5150.1,,,,30747.4,28234.1,,23.1,,,1233.2,,,854.3,,,,234618.6,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction,,,,,10003.4,,,,,0.2,,,8295.1,,1.9,,,1475.9,10047.1,,,568.5,308.4,3.0,,,,2216.0,1321.1,,,,,,,,722.3,,,,34965.8,,2.8,,,,,,,,,,,,5661.428,,,,,861.358,287.48,,,1868.333,4582.387,,,,,,,40.71,2265.918,,,,,,343.975,,,15915.205,,3.401,0.214,,,,,,,,,,,4080.5784,,,,,893.741540526,162.934,,,1353.048,8267.911,,,,,6.211485000000001,,,2381.3714505000003,,23.667071999999997,,988.6997072220001,,288.72330900000003,,,0.028,,18446.913964247997,,,,,,,,,,,,7631.989,,,,,1135.82,168.387,,1361.381,5479.834,,,,,11.161,,33.572,2472.868,,,,726.779,,406.207,,,3.493,,19431.5,
Consumption in Energy Sector (Own Use),0.0,0.0,0.0,0.0,0.0,7647.8,33.7,2343.0,11316.5,0.0,0.0,69346.5,65536.6,0.0,82.7,0.0,0.0,87381.6,6233.1,0.0,0.0,39.9,66.2,19.3,0.0,0.0,0.0,83272.6,10189.4,0.0,0.0,0.0,0.0,0.0,46058.2,0.0,0.0,0.0,0.0,0.0,389567.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption in the energy sector (own needs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7243.895,33.697,0.0,0.0,12119.355,2108.076,0.0,69839.717,0.0,0.0,0.0,0.0,11557.319,2592.369,0.0,48702.723,66796.008,2063.884,0.0,0.0,0.0,0.609,1091.231,117.506,0.0,71999.689,0.0,0.0,608.276,0.0,0.0,17919.093,0.0,0.0,314908.429,0.0,0.0,114.981,0.0,0.0,0.0,7732.744,0.0,0.0,0.0,11260.367,31611.866458499895,0.0,89348.43600000003,0.0,0.0,0.0,0.0,11251.91256048,0.0,110.98732999999999,43607.377432805995,63087.973000000005,6271.249000000001,0.0,0.0,0.0,0.748,105.614964,0.0,2.376,75130.610171625,0.0,0.0,940.0160000000001,0.0,0.0,75.014445,0.0,1952.6988000000001,0.0,0.0,342489.991162411,0.0,0.0,0.0,0.0,8071.7,0.0,0.0,0.0,14207.8,3665.2,0.0,92181.9,0.0,0.0,0.0,0.0,3819.1,0.0,44473.2,49315.8,4098.7,0.0,,120.4,12.6,4266.1,7.2,756.3,126781.993,1060.2,0.0,934.3,0.0,0.0,322.9,2688.8,3.2,0.0,0.0,356787.331,0.0
Conversion Sector - Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.669,,17381.066,110.67,,67210.182,12622.8,,57515.219,408787.536,,,,,,39225.275,,62635.406,394764.762,174141.17,,0.0,30933.019,352.475,,2721.18,216120.481,,40276.736,25718.506,15297.253,98374.764,0.0,140618.258,3542.774,,1809034.388,,615.187,,902.2541659999999,67.9724,348.219,16973.261,84.84700000000001,0.0,63682.948000000004,11260.367,0.0,81746.62665910697,408907.68840000004,0.0,0.0,0.0,0.0,0.0,32752.399,0.0,43607.377432805995,386228.461,145769.269,0.0,0.0,27755.029,231.704,0.0,1272.290712,233842.40000000002,0.0,20062.82816,25853.7936,14837.199999999999,81244.13882323001,0.0,117361.1574,1055.0231999999999,3212.171208,0.0,148.11839999999998,1719660.984561143,453.44000000000005,0.0,572.9,0.0,17414.2,103.6,0.0,74174.3,14270.4,0.0,104289.8,427379.8,0.0,0.0,0.0,0.0,0.0,31583.7,44473.2,396195.6,127476.9,0.0,0.0,32475.3,46.9,0.0,1348.8,240267.0,0.0,25284.3,3439.0,12599.9,57897.5,0.0,227039.2,0.0,5496.4,0.0,0.0,1843906.3,77.6
Domestic Aviation,,271.9,,,,,,,,,,,,,,,126.6,,,,6605.8,,,0.5,,,,,,,,,,,,,,,,,7004.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic Navigation,,,,,,,,,,,,,,,,,,,262.8,,,6.6,8.8,4.5,,,,,,,,,,,,,,,,,282.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity plants (TPP) (main activity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29011.5,15991.8,6759.3,,66.8,,,0.1,,,,,,,,97301.7,,,,,,,,,,,149131.2,
Electricity plants (TPP) (main activity) - electricity generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80887.0,,,,,,,,,,,,,,,,376.596,,,,,,,0.47,,,,,80887.0,
Electricity plants (TPP) (secondary activity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,11614.5,44.5,46.0,528.9,,,,946.8,,,,,,,,112821.4,,,,1.4,,7.1,,,,,126014.9,
Electricity plants (TPP) (secondary activity) - electricity generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39725.9,,,,,,,,,,,,,,,,,,,,934.276,,,,,,,,39725.9,
