Combined Heat and Power Plants (CHPP) (secondary activity) - electricity and heat generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.693,,,,,2553.445,115.913,,,1290.408,,,,,,,,,186.401,,,,,,,,,2855.759,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,341.03379191745483,0.0,0.0,0.0,0.0,6463.734818806525,96.06327027801662,0.0,0.0,734.65438998758,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,175.38591548796214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6735.184004572504,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial and government services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.225,,,,,,1241.697,,,,,3211.021,,,,2888.808,809.026,,,,0.003,338.619,,,4534.08,,,,,,363.681,,,13388.162,,,,,,0.9595872742906277,,2.093914206553931,,,,,,1263.9067067927774,,,,,252.87337961091998,7.244625967325881,,,2020.459826120187,690.290293302761,,,0.6786096780357314,,509.77721947549435,,0.008407375561287856,543.4962034429636,,,78.10480557944014,62.042717221577334,,533.9177762252795,,,9.33123148944301,,5975.185303762611,,,,,,1.2461306964746346,,,,,,1603.086672398967,,,,,79.86301968572657,19.570674500812075,,1518.9876745963493,90.08555460017196,,,,,325.14308125537406,,59.89099073277923,1081.767368398894,,,,50.84842686584027,,157.73605187732872,,,2.8347425241234356,,4991.060388132842,
Commercial and utility services,,,,,3.2,,,,,,,,1908.2,,1.1,,,1856.6,141.4,,,72.3,30.3,123.0,,,,660.9,674.4,,0.6,,,29.5,,,20.4,,,,5530.3,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction,,,,,238.9,,,,,,,,198.1,,,,,35.3,240.0,,,13.6,7.4,0.1,,,,47.6,31.6,,,,,,,,17.3,,,,829.9,,0.1,,,,,,,,,,,,135.221,,,,,20.573,6.866,,,44.624,109.448,,,,,,,0.972,49.867,,,,,,8.216,,,375.874,,0.081,0.005,,,,,,,,,,,97.46294067067927,,,,,21.346649960017196,3.891611732110442,,,32.31699627400401,197.47566160313366,,,,,0.14835877042132417,,,51.19027193680138,,0.5652783032387503,,23.614686806678133,,6.896037761536257,,,0.0006687685105569886,,434.909162587131,,,,,,,,,,,,182.28693035253656,,,,,27.12860636801376,4.021854399541415,,32.51602655966371,130.88358650998376,,,,,0.26657480653482374,,0.8018534441578294,59.063434866723995,,,,17.3588253589615,,9.70208147033534,,,0.08342887169198432,,464.11320300814464,
Consumption in Energy Sector (Own Use),0.0,0.0,0.0,0.0,0.0,182.7,0.8,29.1,270.3,0.0,0.0,1656.3,1565.3,0.0,2.0,0.0,0.0,2087.1,148.9,0.0,0.0,1.0,1.6,0.5,0.0,0.0,0.0,1790.0,243.4,0.0,0.0,0.0,0.0,0.0,1100.1,0.0,0.0,0.0,0.0,0.0,9078.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption in the energy sector (own needs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,173.017,0.805,0.0,0.0,289.466,50.351,0.0,1668.093,0.0,0.0,0.0,0.0,276.042,61.918,0.0,1163.245,1595.395,49.295,0.0,0.0,0.0,0.015,26.064,2.807,0.0,1584.519,0.0,0.0,14.528,0.0,0.0,427.99,0.0,0.0,7386.296,0.0,0.0,2.746,0.0,0.0,0.0,184.69341740708893,0.0,0.0,0.0,268.94924524696665,755.0364588349072,0.0,2134.050730868444,0.0,0.0,0.0,0.0,268.7473144282029,0.0,2.6508868348141776,1041.5443162512179,1506.8303477596255,149.7862090379287,0.0,0.0,0.0,0.017865673067736693,2.5225700773860704,0.0,0.05674978503869303,1794.463795061264,0.0,0.0,22.451896436419222,0.0,0.0,1.7916892376038978,0.0,46.639409572943535,0.0,0.0,8180.23290251292,0.0,0.0,0.0,0.0,192.78972007260916,0.0,0.0,0.0,339.3482134326932,87.54124671586887,0.0,2201.7263972484952,0.0,0.0,0.0,0.0,91.2176207282889,0.0,1062.2236795380718,1177.887957389892,97.89617368873604,0.0,0.0,2.8765567975542177,0.30056367631604086,101.89374548581256,0.17289739180280883,18.06324639342696,3028.1358913460163,25.322411388172352,0.0,22.314798891755036,0.0,0.0,7.712688592719976,64.21993211999617,0.0752530811120665,0.0,0.0,8521.718993979339,0.0
Conversion Sector - Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.664,0.0,415.14,2.643,0.0,1605.288,301.49,0.0,1373.727,9763.723,0.0,0.0,0.0,0.0,0.0,936.88,0.0,1496.021,9428.794,4159.29,0.0,0.0,738.822,8.419,0.0,64.994,5161.949,0.0,961.993,614.276,365.369,2349.641,0.0,3696.096,84.618,0.0,43545.531,0.0,14.693,0.0,21.549970526416352,1.6234928823922803,8.317067927773,405.3993742237508,2.026535779115315,,1521.04108149422,268.94924524696665,0.0,1952.4846340667566,9766.59234737747,0.0,0.0,0.0,0.0,,782.2776105856501,0.0,1041.5443162512179,9224.908307060283,3481.6391755039645,0.0,0.0,662.9174787427152,5.534154963217732,,30.388141587847517,5585.2297697525555,0.0,479.19241807585746,617.5072513614216,354.3804337441482,1940.4829182963124,0.0,2803.123086844368,25.198796216680993,76.72139122957867,0.0,3.537747205503009,41073.396975282856,10.830228336677177,0.0,13.682535588038597,0.0,415.9311646125919,2.4752316805197276,0.0,1771.6228662701828,340.84319766886404,0.0,2490.9201410066157,10207.790627687014,0.0,0.0,0.0,0.0,0.0,754.3645504920225,1062.2236795380718,9462.969999999998,3044.73440336295,0.0,0.0,775.6581365243145,1.120282793541607,0.0,32.21496402980796,5738.67908665329,0.0,603.9041177032578,82.13910385019585,300.9424859080921,1382.8572500377377,0.0,5422.7390030094575,0.0,131.27987503582688,0.0,0.0,44040.94633868695,1.8536352345466705
Domestic Aviation,,6.5,,,,,,,,,,,,,,,3.0,,,,157.8,,,,,,,,,,,,,,,,,,,,167.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic Navigation,,,,,,,,,,,,,,,,,,,6.3,,,0.2,0.2,0.2,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity plants (TPP) (main activity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.928116938951,381.95717970765264,161.44385210662082,,1.5952278589853826,,,0.002054074710996465,,,,,,,,2324.01217659967,,,,,,,,,,,3561.938607286591,
